,Title,Location,Company,Salary,Synopsis,Query,Metro
341,Junior Data Scientist,"Tysons, VA",        Logistics Management Institute,None,"            Preferred experience with data science methods related to data architecture, data munging, data and feature engineering, and predictive analytics....",data+scientist,washington+dc
342,Data Scientist — Predictive Analytics,"Washington, DC",        Gallup,None,            Minimum of two years of experience building production-level machine learning and predictive analytics systems along with data pipelines....,data+scientist,washington+dc
343,Federal - Junior Data Scientist,"Suitland, MD",        Accenture,None,"            You’ll be part of a diverse team of industry experts who specialize in data engineering, data mining, machine learning, statistics, and visualization with...",data+scientist,washington+dc
344,Data Scientist​,"Chantilly, VA",        VivusTech,None,"            SQL, R, Python), working with large data sets, data collection, data normalization, and data visualization....",data+scientist,washington+dc
345,"Data Scientist, Junior","Alexandria, VA",        Booz Allen Hamilton,None,"Data Scientist, Junior. Experience with analytics, data mining, and problem-solving. You’ll have access to a wealth of training resources through our Analytics...",data+scientist,washington+dc
346,Engility Career Invitational - Scientists and Data Engineers,None,        Engility,None,                            We will be hosting an *Engility Career Invitational for Scientists and Data Engineers and others technical experts and researchers involved in Weapons Effects...,data+scientist,washington+dc
347,HP032 Data Technician,None,"        ADNET Systems, Inc.",None,"                            Work side by side with top scientists. HP032 Junior Data Technician, Part Time. Perform and manage system backups....",data+scientist,washington+dc
348,Graduate Studies Program - Data Scientist,None,        Central Intelligence Agency,"
                $27.17 - $36.60 an hour","                            As a Data Scientist Graduate Intern, you will work side-by-side with other Data Scientists to organize and interpret data to inform US decision makers, drive...",data+scientist,washington+dc
349,Data Scientist — Predictive Analytics,None,        Gallup,None,                            Minimum of two years of experience building production-level machine learning and predictive analytics systems along with data pipelines....,data+scientist,washington+dc
350,Data Analytics Specialist,None,        PCAOB,None,"                            Play a significant role in PCAOB's increasing focus on data analytics, using predictive data analytics to improve the effectiveness and efficiency of our...",data+scientist,washington+dc
351,Data Scientist,"Arlington, VA",        AvalonBay Communities,"
                $83,000 - $106,000 a year (Indeed est.)",            Experience in building production-level machine learning and predictive analytics models along with data pipelines....,data+scientist,washington+dc
352,Data Scientist,"Washington, DC",        Optoro,"
                $92,000 - $117,000 a year (Indeed est.)","            Deep understanding of data analysis, machine learning, and data communication across multiple domain areas....",data+scientist,washington+dc
353,Data Scientist,"Washington, DC",        CORMAC Corporation,"
                $100,000 - $127,000 a year (Indeed est.)","            Leverage expertise in machine learning, data mining, statistical, and graph based algorithms in data analysis, solution development, analytic workflow processes...",data+scientist,washington+dc
354,Conflict Data Scientist,"Washington, DC",        FREEDOM CONSULTING GROUP,"
                $116,000 - $148,000 a year (Indeed est.)","            Conflict Data Scientist. Strong quantitative background and experience in data collection, cleaning, processing and applied analysis and visualization using...",data+scientist,washington+dc
355,Data Scientist,"Alexandria, VA 22303",        TransVoyant,"
                $122,000 - $155,000 a year (Indeed est.)",            TransVoyant is seeking a Data Scientist to drive live and predictive data analytics and development for our patented Continuous Decision Intelligence™ Platform....,data+scientist,washington+dc
356,Data Scientist/Analyst,"Washington, DC",        Favor TechConsulting,"
                $101,000 - $129,000 a year (Indeed est.)","            Provide data analytics, data engineering, data mining, exploratory analysis, predictive analysis, statistics, and the use of techniques....",data+scientist,washington+dc
357,DATA ANALYST,"Washington, DC",        BlueLabs Analytics,None,"            Our team includes more than 40 data scientists, engineers, and strategists from diverse backgrounds who share a passion for using data to solve the world’s...",data+scientist,washington+dc
358,Data Scientist Specialist,"Washington, DC",        Public Company Accounting Oversight Board,"
                $106,000 - $135,000 a year (Indeed est.)","            In this position, you will be responsible for utilizing your professional experience with machine learning techniques like classification and regression, model...",data+scientist,washington+dc
359,DIA Collection Data Scientist,"Washington, DC 20001 (Shaw area)",        Cyberspace Solutions LLC,"
                $112,000 - $142,000 a year (Indeed est.)","            The Data Scientist will perform research on various data sources, to include unstructured data using quantitative and qualitative analytics....",data+scientist,washington+dc
360,Chief Data Scientist,"College Park, MD",        U.S. Federal Government,"
                $126,148 - $174,500 a year","            You will be responsible for all enterprise analytics, decision making affecting analytics, directing analytics processes and using analytics to drive innovation...",data+scientist,washington+dc
361,"Sr. Associate, Data Scientist (Machine Learning)",None,        KPMG,None,"                            Minimum of two years of experience leading work streams with at least two data scientists, engineers, and other data & analytics professionals, including...",data+scientist,washington+dc
362,Graduate Studies Program - Data Scientist,None,        Central Intelligence Agency,"
                $27.17 - $36.60 an hour","                            As a Data Scientist Graduate Intern, you will work side-by-side with other Data Scientists to organize and interpret data to inform US decision makers, drive...",data+scientist,washington+dc
363,Engility Career Invitational - Scientists and Data Engineers,None,        Engility,None,                            We will be hosting an *Engility Career Invitational for Scientists and Data Engineers and others technical experts and researchers involved in Weapons Effects...,data+scientist,washington+dc
364,Data Scientist — Predictive Analytics,None,        Gallup,None,                            Minimum of two years of experience building production-level machine learning and predictive analytics systems along with data pipelines....,data+scientist,washington+dc
365,Data Analytics Specialist,None,        PCAOB,None,"                            Play a significant role in PCAOB's increasing focus on data analytics, using predictive data analytics to improve the effectiveness and efficiency of our...",data+scientist,washington+dc
366,Data Scientist,"Arlington, VA",        AvalonBay Communities,None,            Experience in building production-level machine learning and predictive analytics models along with data pipelines....,data+scientist,washington+dc
367,Data Scientist,"Washington, DC",        Optoro,None,"            Deep understanding of data analysis, machine learning, and data communication across multiple domain areas....",data+scientist,washington+dc
368,Data Scientist,"Washington, DC",        CORMAC Corporation,None,"            Leverage expertise in machine learning, data mining, statistical, and graph based algorithms in data analysis, solution development, analytic workflow processes...",data+scientist,washington+dc
369,Conflict Data Scientist,"Washington, DC",        FREEDOM CONSULTING GROUP,None,"            Conflict Data Scientist. Strong quantitative background and experience in data collection, cleaning, processing and applied analysis and visualization using...",data+scientist,washington+dc
370,Data Scientist,"Alexandria, VA 22303",        TransVoyant,None,            TransVoyant is seeking a Data Scientist to drive live and predictive data analytics and development for our patented Continuous Decision Intelligence™ Platform....,data+scientist,washington+dc
371,Data Scientist/Analyst,"Washington, DC",        Favor TechConsulting,None,"            Provide data analytics, data engineering, data mining, exploratory analysis, predictive analysis, statistics, and the use of techniques....",data+scientist,washington+dc
372,DATA ANALYST,"Washington, DC",        BlueLabs Analytics,None,"            Our team includes more than 40 data scientists, engineers, and strategists from diverse backgrounds who share a passion for using data to solve the world’s...",data+scientist,washington+dc
373,Data Scientist Specialist,"Washington, DC",        Public Company Accounting Oversight Board,None,"            In this position, you will be responsible for utilizing your professional experience with machine learning techniques like classification and regression, model...",data+scientist,washington+dc
374,DIA Collection Data Scientist,"Washington, DC 20001 (Shaw area)",        Cyberspace Solutions LLC,None,"            The Data Scientist will perform research on various data sources, to include unstructured data using quantitative and qualitative analytics....",data+scientist,washington+dc
375,Chief Data Scientist,"College Park, MD",        U.S. Federal Government,"
                $126,148 - $174,500 a year","            You will be responsible for all enterprise analytics, decision making affecting analytics, directing analytics processes and using analytics to drive innovation...",data+scientist,washington+dc
376,"Sr. Associate, Data Scientist (Machine Learning)",None,        KPMG,None,"                            Minimum of two years of experience leading work streams with at least two data scientists, engineers, and other data & analytics professionals, including...",data+scientist,washington+dc
377,Graduate Studies Program - Data Scientist,None,        Central Intelligence Agency,"
                $27.17 - $36.60 an hour","                            As a Data Scientist Graduate Intern, you will work side-by-side with other Data Scientists to organize and interpret data to inform US decision makers, drive...",data+scientist,washington+dc
378,Engility Career Invitational - Scientists and Data Engineers,None,        Engility,None,                            We will be hosting an *Engility Career Invitational for Scientists and Data Engineers and others technical experts and researchers involved in Weapons Effects...,data+scientist,washington+dc
379,Graduate Studies Program - Data Scientist,None,        Central Intelligence Agency,"
                $27.17 - $36.60 an hour","                            As a Data Scientist Graduate Intern, you will work side-by-side with other Data Scientists to organize and interpret data to inform US decision makers, drive...",data+scientist,washington+dc
380,Data Scientist,None,        Central Intelligence Agency,"
                $67,968 - $126,062 a year","Data Scientists clearly communicate their conclusions to a diverse audience and become experts through Agency-sponsored continuing education, attendance at...",data+scientist,washington+dc
381,Engility Career Invitational - Scientists and Data Engineers,None,        Engility,None,                            We will be hosting an *Engility Career Invitational for Scientists and Data Engineers and others technical experts and researchers involved in Weapons Effects...,data+scientist,washington+dc
382,Data Scientist,"Arlington, VA",        AvalonBay Communities,None,            Experience in building production-level machine learning and predictive analytics models along with data pipelines....,data+scientist,washington+dc
383,Data Scientist,"Washington, DC",        Optoro,None,"            Deep understanding of data analysis, machine learning, and data communication across multiple domain areas....",data+scientist,washington+dc
384,Data Scientist,"Washington, DC",        CORMAC Corporation,None,"            Leverage expertise in machine learning, data mining, statistical, and graph based algorithms in data analysis, solution development, analytic workflow processes...",data+scientist,washington+dc
385,Conflict Data Scientist,"Washington, DC",        FREEDOM CONSULTING GROUP,None,"            Conflict Data Scientist. Strong quantitative background and experience in data collection, cleaning, processing and applied analysis and visualization using...",data+scientist,washington+dc
386,Data Scientist,"Alexandria, VA 22303",        TransVoyant,None,            TransVoyant is seeking a Data Scientist to drive live and predictive data analytics and development for our patented Continuous Decision Intelligence™ Platform....,data+scientist,washington+dc
387,Data Scientist/Analyst,"Washington, DC",        Favor TechConsulting,None,"            Provide data analytics, data engineering, data mining, exploratory analysis, predictive analysis, statistics, and the use of techniques....",data+scientist,washington+dc
388,DATA ANALYST,"Washington, DC",        BlueLabs Analytics,None,"            Our team includes more than 40 data scientists, engineers, and strategists from diverse backgrounds who share a passion for using data to solve the world’s...",data+scientist,washington+dc
389,Data Scientist Specialist,"Washington, DC",        Public Company Accounting Oversight Board,None,"            In this position, you will be responsible for utilizing your professional experience with machine learning techniques like classification and regression, model...",data+scientist,washington+dc
390,DIA Collection Data Scientist,"Washington, DC 20001 (Shaw area)",        Cyberspace Solutions LLC,None,"            The Data Scientist will perform research on various data sources, to include unstructured data using quantitative and qualitative analytics....",data+scientist,washington+dc
391,Chief Data Scientist,"College Park, MD",        U.S. Federal Government,"
                $126,148 - $174,500 a year","            You will be responsible for all enterprise analytics, decision making affecting analytics, directing analytics processes and using analytics to drive innovation...",data+scientist,washington+dc
392,"Sr. Associate, Data Scientist (Machine Learning)",None,        KPMG,None,"                            Minimum of two years of experience leading work streams with at least two data scientists, engineers, and other data & analytics professionals, including...",data+scientist,washington+dc
393,Data Analytics Specialist,None,        PCAOB,None,"                            Play a significant role in PCAOB's increasing focus on data analytics, using predictive data analytics to improve the effectiveness and efficiency of our...",data+scientist,washington+dc
394,Data Scientist — Predictive Analytics,None,        Gallup,None,                            Minimum of two years of experience building production-level machine learning and predictive analytics systems along with data pipelines....,data+scientist,washington+dc
395,Undergraduate Internship/Co-op Program - Data Scientist,None,        Central Intelligence Agency,"
                $21.44 - $25.84 an hour",                            Students serving as Data Scientist interns work side-by-side with other data scientists using advanced hardware and software to create and develop computational...,data+scientist,washington+dc
396,HP032 Data Technician,None,"        ADNET Systems, Inc.",None,"                            Work side by side with top scientists. HP032 Junior Data Technician, Part Time. Perform and manage system backups....",data+scientist,washington+dc
397,Data Scientist - Entry to Experienced Level,None,        National Security Agency,"
                $69,545 - $86,659 a year","                            Applying the scientific process to data evaluation, performing statistical inference, and data mining. As a member of a technical mission office or the DSDP,...",data+scientist,washington+dc
398,Data Scientist,None,        Central Intelligence Agency,"
                $67,968 - $126,062 a year","Data Scientists clearly communicate their conclusions to a diverse audience and become experts through Agency-sponsored continuing education, attendance at...",data+scientist,washington+dc
399,Data Analytics Specialist,None,        PCAOB,None,"                            Play a significant role in PCAOB's increasing focus on data analytics, using predictive data analytics to improve the effectiveness and efficiency of our...",data+scientist,washington+dc
400,Data Scientist,"Arlington, VA",        AvalonBay Communities,None,            Experience in building production-level machine learning and predictive analytics models along with data pipelines....,data+scientist,washington+dc
401,Data Scientist,"Washington, DC",        Optoro,None,"            Deep understanding of data analysis, machine learning, and data communication across multiple domain areas....",data+scientist,washington+dc
402,Data Scientist,"Washington, DC",        CORMAC Corporation,None,"            Leverage expertise in machine learning, data mining, statistical, and graph based algorithms in data analysis, solution development, analytic workflow processes...",data+scientist,washington+dc
403,Conflict Data Scientist,"Washington, DC",        FREEDOM CONSULTING GROUP,None,"            Conflict Data Scientist. Strong quantitative background and experience in data collection, cleaning, processing and applied analysis and visualization using...",data+scientist,washington+dc
404,Data Scientist,"Alexandria, VA 22303",        TransVoyant,None,            TransVoyant is seeking a Data Scientist to drive live and predictive data analytics and development for our patented Continuous Decision Intelligence™ Platform....,data+scientist,washington+dc
405,Data Scientist/Analyst,"Washington, DC",        Favor TechConsulting,None,"            Provide data analytics, data engineering, data mining, exploratory analysis, predictive analysis, statistics, and the use of techniques....",data+scientist,washington+dc
406,DATA ANALYST,"Washington, DC",        BlueLabs Analytics,None,"            Our team includes more than 40 data scientists, engineers, and strategists from diverse backgrounds who share a passion for using data to solve the world’s...",data+scientist,washington+dc
407,Data Scientist Specialist,"Washington, DC",        Public Company Accounting Oversight Board,None,"            In this position, you will be responsible for utilizing your professional experience with machine learning techniques like classification and regression, model...",data+scientist,washington+dc
408,DIA Collection Data Scientist,"Washington, DC 20001 (Shaw area)",        Cyberspace Solutions LLC,None,"            The Data Scientist will perform research on various data sources, to include unstructured data using quantitative and qualitative analytics....",data+scientist,washington+dc
409,Chief Data Scientist,"College Park, MD",        U.S. Federal Government,"
                $126,148 - $174,500 a year","            You will be responsible for all enterprise analytics, decision making affecting analytics, directing analytics processes and using analytics to drive innovation...",data+scientist,washington+dc
410,Engility Career Invitational - Scientists and Data Engineers,None,        Engility,None,                            We will be hosting an *Engility Career Invitational for Scientists and Data Engineers and others technical experts and researchers involved in Weapons Effects...,data+scientist,washington+dc
411,Data Scientist — Predictive Analytics,None,        Gallup,None,                            Minimum of two years of experience building production-level machine learning and predictive analytics systems along with data pipelines....,data+scientist,washington+dc
412,Graduate Studies Program - Data Scientist,None,        Central Intelligence Agency,"
                $27.17 - $36.60 an hour","                            As a Data Scientist Graduate Intern, you will work side-by-side with other Data Scientists to organize and interpret data to inform US decision makers, drive...",data+scientist,washington+dc
413,Undergraduate Internship/Co-op Program - Data Scientist,None,        Central Intelligence Agency,"
                $21.44 - $25.84 an hour",                            Students serving as Data Scientist interns work side-by-side with other data scientists using advanced hardware and software to create and develop computational...,data+scientist,washington+dc
414,HP032 Data Technician,None,"        ADNET Systems, Inc.",None,"                            Work side by side with top scientists. HP032 Junior Data Technician, Part Time. Perform and manage system backups....",data+scientist,washington+dc
415,Data Scientist - Entry to Experienced Level,None,        National Security Agency,"
                $69,545 - $86,659 a year","                            Applying the scientific process to data evaluation, performing statistical inference, and data mining. As a member of a technical mission office or the DSDP,...",data+scientist,washington+dc
416,Data Scientist,None,        Central Intelligence Agency,"
                $67,968 - $126,062 a year","Data Scientists clearly communicate their conclusions to a diverse audience and become experts through Agency-sponsored continuing education, attendance at...",data+scientist,washington+dc
417,Data Analytics Specialist,None,        PCAOB,None,"                            Play a significant role in PCAOB's increasing focus on data analytics, using predictive data analytics to improve the effectiveness and efficiency of our...",data+scientist,washington+dc
418,Data Scientist,"Arlington, VA",        AvalonBay Communities,None,            Experience in building production-level machine learning and predictive analytics models along with data pipelines....,data+scientist,washington+dc
419,Data Scientist,"Washington, DC",        Optoro,None,"            Deep understanding of data analysis, machine learning, and data communication across multiple domain areas....",data+scientist,washington+dc
420,Data Scientist,"Washington, DC",        CORMAC Corporation,None,"            Leverage expertise in machine learning, data mining, statistical, and graph based algorithms in data analysis, solution development, analytic workflow processes...",data+scientist,washington+dc
421,Conflict Data Scientist,"Washington, DC",        FREEDOM CONSULTING GROUP,None,"            Conflict Data Scientist. Strong quantitative background and experience in data collection, cleaning, processing and applied analysis and visualization using...",data+scientist,washington+dc
422,Data Scientist,"Alexandria, VA 22303",        TransVoyant,None,            TransVoyant is seeking a Data Scientist to drive live and predictive data analytics and development for our patented Continuous Decision Intelligence™ Platform....,data+scientist,washington+dc
423,Data Scientist/Analyst,"Washington, DC",        Favor TechConsulting,None,"            Provide data analytics, data engineering, data mining, exploratory analysis, predictive analysis, statistics, and the use of techniques....",data+scientist,washington+dc
424,DATA ANALYST,"Washington, DC",        BlueLabs Analytics,None,"            Our team includes more than 40 data scientists, engineers, and strategists from diverse backgrounds who share a passion for using data to solve the world’s...",data+scientist,washington+dc
425,Data Scientist Specialist,"Washington, DC",        Public Company Accounting Oversight Board,None,"            In this position, you will be responsible for utilizing your professional experience with machine learning techniques like classification and regression, model...",data+scientist,washington+dc
426,DIA Collection Data Scientist,"Washington, DC 20001 (Shaw area)",        Cyberspace Solutions LLC,None,"            The Data Scientist will perform research on various data sources, to include unstructured data using quantitative and qualitative analytics....",data+scientist,washington+dc
427,Chief Data Scientist,"College Park, MD",        U.S. Federal Government,"
                $126,148 - $174,500 a year","            You will be responsible for all enterprise analytics, decision making affecting analytics, directing analytics processes and using analytics to drive innovation...",data+scientist,washington+dc
428,Engility Career Invitational - Scientists and Data Engineers,None,        Engility,None,                            We will be hosting an *Engility Career Invitational for Scientists and Data Engineers and others technical experts and researchers involved in Weapons Effects...,data+scientist,washington+dc
429,Data Scientist — Predictive Analytics,None,        Gallup,None,                            Minimum of two years of experience building production-level machine learning and predictive analytics systems along with data pipelines....,data+scientist,washington+dc
430,Graduate Studies Program - Data Scientist,None,        Central Intelligence Agency,"
                $27.17 - $36.60 an hour","                            As a Data Scientist Graduate Intern, you will work side-by-side with other Data Scientists to organize and interpret data to inform US decision makers, drive...",data+scientist,washington+dc
431,Undergraduate Internship/Co-op Program - Data Scientist,None,        Central Intelligence Agency,"
                $21.44 - $25.84 an hour",                            Students serving as Data Scientist interns work side-by-side with other data scientists using advanced hardware and software to create and develop computational...,data+scientist,washington+dc
432,HP032 Data Technician,None,"        ADNET Systems, Inc.",None,"                            Work side by side with top scientists. HP032 Junior Data Technician, Part Time. Perform and manage system backups....",data+scientist,washington+dc
433,Data Scientist - Entry to Experienced Level,None,        National Security Agency,"
                $69,545 - $86,659 a year","                            Applying the scientific process to data evaluation, performing statistical inference, and data mining. As a member of a technical mission office or the DSDP,...",data+scientist,washington+dc
434,Data Scientist,None,        Central Intelligence Agency,"
                $67,968 - $126,062 a year","Data Scientists clearly communicate their conclusions to a diverse audience and become experts through Agency-sponsored continuing education, attendance at...",data+scientist,washington+dc
435,Data Analytics Specialist,None,        PCAOB,None,"                            Play a significant role in PCAOB's increasing focus on data analytics, using predictive data analytics to improve the effectiveness and efficiency of our...",data+scientist,washington+dc
436,Data Scientist,"Arlington, VA",        AvalonBay Communities,None,            Experience in building production-level machine learning and predictive analytics models along with data pipelines....,data+scientist,washington+dc
437,Data Scientist,"Washington, DC",        Optoro,None,"            Deep understanding of data analysis, machine learning, and data communication across multiple domain areas....",data+scientist,washington+dc
438,Data Scientist,"Washington, DC",        CORMAC Corporation,None,"            Leverage expertise in machine learning, data mining, statistical, and graph based algorithms in data analysis, solution development, analytic workflow processes...",data+scientist,washington+dc
439,Conflict Data Scientist,"Washington, DC",        FREEDOM CONSULTING GROUP,None,"            Conflict Data Scientist. Strong quantitative background and experience in data collection, cleaning, processing and applied analysis and visualization using...",data+scientist,washington+dc
440,Data Scientist,"Alexandria, VA 22303",        TransVoyant,None,            TransVoyant is seeking a Data Scientist to drive live and predictive data analytics and development for our patented Continuous Decision Intelligence™ Platform....,data+scientist,washington+dc
441,Data Scientist/Analyst,"Washington, DC",        Favor TechConsulting,None,"            Provide data analytics, data engineering, data mining, exploratory analysis, predictive analysis, statistics, and the use of techniques....",data+scientist,washington+dc
442,DATA ANALYST,"Washington, DC",        BlueLabs Analytics,None,"            Our team includes more than 40 data scientists, engineers, and strategists from diverse backgrounds who share a passion for using data to solve the world’s...",data+scientist,washington+dc
443,Data Scientist Specialist,"Washington, DC",        Public Company Accounting Oversight Board,None,"            In this position, you will be responsible for utilizing your professional experience with machine learning techniques like classification and regression, model...",data+scientist,washington+dc
444,DIA Collection Data Scientist,"Washington, DC 20001 (Shaw area)",        Cyberspace Solutions LLC,None,"            The Data Scientist will perform research on various data sources, to include unstructured data using quantitative and qualitative analytics....",data+scientist,washington+dc
445,Chief Data Scientist,"College Park, MD",        U.S. Federal Government,"
                $126,148 - $174,500 a year","            You will be responsible for all enterprise analytics, decision making affecting analytics, directing analytics processes and using analytics to drive innovation...",data+scientist,washington+dc
446,Engility Career Invitational - Scientists and Data Engineers,None,        Engility,None,                            We will be hosting an *Engility Career Invitational for Scientists and Data Engineers and others technical experts and researchers involved in Weapons Effects...,data+scientist,washington+dc
447,Data Scientist — Predictive Analytics,None,        Gallup,None,                            Minimum of two years of experience building production-level machine learning and predictive analytics systems along with data pipelines....,data+scientist,washington+dc
448,Graduate Studies Program - Data Scientist,None,        Central Intelligence Agency,"
                $27.17 - $36.60 an hour","                            As a Data Scientist Graduate Intern, you will work side-by-side with other Data Scientists to organize and interpret data to inform US decision makers, drive...",data+scientist,washington+dc
449,Undergraduate Internship/Co-op Program - Data Scientist,None,        Central Intelligence Agency,"
                $21.44 - $25.84 an hour",                            Students serving as Data Scientist interns work side-by-side with other data scientists using advanced hardware and software to create and develop...,data+scientist,washington+dc
450,HP032 Data Technician,None,"        ADNET Systems, Inc.",None,                            Assist with performing operating system and software upgrades on Linux and Mac OS servers and desktop computers.,data+scientist,washington+dc
451,Data Scientist - Entry to Experienced Level,None,        National Security Agency,"
                $69,545 - $86,659 a year","                            You will employ your mathematical science, computer science, and quantitative analysis skills to ensure solutions to complex data problems and take full...",data+scientist,washington+dc
452,Data Scientist,None,        Central Intelligence Agency,"
                $67,968 - $126,062 a year","                            Data Scientists clearly communicate their conclusions to a diverse audience and become experts through Agency-sponsored continuing education, attendance at...",data+scientist,washington+dc
453,Data Analytics Specialist,None,        PCAOB,None,                            PCAOB oversees the audit of public companies and SEC registered brokers and dealers in order to protect investors and further public interest in the...,data+scientist,washington+dc
454,Data Scientist,"Arlington, VA",        AvalonBay Communities,"
                $83,000 - $106,000 a year (Indeed est.)",            Work with senior management and business analysts to identify strategic opportunities for data analytics impact,data+scientist,washington+dc
455,Data Scientist,"Washington, DC",        Optoro,"
                $92,000 - $117,000 a year (Indeed est.)","            Develop statistical models via supervised and unsupervised machine learning, statistical analysis, and other predictive modeling techniques that address...",data+scientist,washington+dc
456,Data Scientist,"Washington, DC",        CORMAC Corporation,"
                $100,000 - $127,000 a year (Indeed est.)",            Apply technical and advanced analytical expertise to explore and examine data from multiple disparate sources with the goal of discovering patterns and...,data+scientist,washington+dc
457,Conflict Data Scientist,"Washington, DC",        FREEDOM CONSULTING GROUP,"
                $116,000 - $148,000 a year (Indeed est.)","            It is anticipated that the Data Scientist will support the launch and use of the final annual iteration of its current early warning tools and data, help...",data+scientist,washington+dc
458,Data Scientist,"Alexandria, VA 22303",        TransVoyant,"
                $122,000 - $155,000 a year (Indeed est.)","            Identify, retrieve, manipulate, relate and exploit multiple TransVoyant structured and unstructured data sets from thousands of various sources (ex. tweets...",data+scientist,washington+dc
459,Data Scientist/Analyst,"Washington, DC",        Favor TechConsulting,"
                $101,000 - $129,000 a year (Indeed est.)","            Provide data analytics, data engineering, data mining, exploratory analysis, predictive analysis, statistics, and the use of techniques",data+scientist,washington+dc
460,DATA ANALYST,"Washington, DC",        BlueLabs Analytics,None,"            They gain exposure to all parts of our process, from collecting and organizing data, to analyzing trends and predicting outcomes, and working with clients to...",data+scientist,washington+dc
461,Data Scientist Specialist,"Washington, DC",        Public Company Accounting Oversight Board,"
                $106,000 - $135,000 a year (Indeed est.)","            Once opportunities are identified, you will be responsible for the design, development, and implementation of real-time predictive data analytics models to...",data+scientist,washington+dc
462,DIA Collection Data Scientist,"Washington, DC 20001 (Shaw area)",        Cyberspace Solutions LLC,"
                $112,000 - $142,000 a year (Indeed est.)","            To build statistical models, test hypotheses, interpret, summarize, visualize, and succinctly report on data holdings in a fast paced environment.",data+scientist,washington+dc
463,Chief Data Scientist,"College Park, MD",        U.S. Federal Government,"
                $126,148 - $174,500 a year","            Through the subordinate managers plan, directs and integrates the efforts of internal and external specialist, both private and federal; promotes the...",data+scientist,washington+dc
464,Engility Career Invitational - Scientists and Data Engineers,None,        Engility,None,                            *About Engility**: *Engility delivers innovative solutions to critical challenges facing the nation and the world. * Security Clearance or Eligible (Preferred),data+scientist,washington+dc
465,Data Scientist — Predictive Analytics,None,        Gallup,None,"                            Working on the biggest stage for researchers, you’ll explain and predict large-scale social behavior (e.g., consumer spending, lifestyle trends, political...",data+scientist,washington+dc
466,Graduate Studies Program - Data Scientist,None,        Central Intelligence Agency,"
                $27.17 - $36.60 an hour",                            Data Scientists clearly communicate their conclusions to a diverse audience and develop technical expertise via hands-on experience and continuous learning...,data+scientist,washington+dc
467,Data Scientist — Predictive Analytics,None,        Gallup,None,                            Minimum of two years of experience building production-level machine learning and predictive analytics systems along with data pipelines....,data+scientist,washington+dc
468,Data Analytics Specialist,None,        PCAOB,None,"                            Play a significant role in PCAOB's increasing focus on data analytics, using predictive data analytics to improve the effectiveness and efficiency of our...",data+scientist,washington+dc
469,Data Scientist,"Arlington, VA",        AvalonBay Communities,None,            Experience in building production-level machine learning and predictive analytics models along with data pipelines....,data+scientist,washington+dc
470,Data Scientist,"Washington, DC",        Optoro,None,"            Deep understanding of data analysis, machine learning, and data communication across multiple domain areas....",data+scientist,washington+dc
471,Data Scientist,"Washington, DC",        CORMAC Corporation,None,"            Leverage expertise in machine learning, data mining, statistical, and graph based algorithms in data analysis, solution development, analytic workflow processes...",data+scientist,washington+dc
472,Conflict Data Scientist,"Washington, DC",        FREEDOM CONSULTING GROUP,None,"            Conflict Data Scientist. Strong quantitative background and experience in data collection, cleaning, processing and applied analysis and visualization using...",data+scientist,washington+dc
473,Data Scientist,"Alexandria, VA 22303",        TransVoyant,None,            TransVoyant is seeking a Data Scientist to drive live and predictive data analytics and development for our patented Continuous Decision Intelligence™ Platform....,data+scientist,washington+dc
474,Data Scientist/Analyst,"Washington, DC",        Favor TechConsulting,None,"            Provide data analytics, data engineering, data mining, exploratory analysis, predictive analysis, statistics, and the use of techniques....",data+scientist,washington+dc
475,DATA ANALYST,"Washington, DC",        BlueLabs Analytics,None,"            Our team includes more than 40 data scientists, engineers, and strategists from diverse backgrounds who share a passion for using data to solve the world’s...",data+scientist,washington+dc
476,Data Scientist Specialist,"Washington, DC",        Public Company Accounting Oversight Board,None,"            In this position, you will be responsible for utilizing your professional experience with machine learning techniques like classification and regression, model...",data+scientist,washington+dc
477,DIA Collection Data Scientist,"Washington, DC 20001 (Shaw area)",        Cyberspace Solutions LLC,None,"            The Data Scientist will perform research on various data sources, to include unstructured data using quantitative and qualitative analytics....",data+scientist,washington+dc
478,Chief Data Scientist,"College Park, MD",        U.S. Federal Government,"
                $126,148 - $174,500 a year","            You will be responsible for all enterprise analytics, decision making affecting analytics, directing analytics processes and using analytics to drive innovation...",data+scientist,washington+dc
479,"Sr. Associate, Data Scientist (Machine Learning)",None,        KPMG,None,"                            Minimum of two years of experience leading work streams with at least two data scientists, engineers, and other data & analytics professionals, including...",data+scientist,washington+dc
480,Graduate Studies Program - Data Scientist,None,        Central Intelligence Agency,"
                $27.17 - $36.60 an hour","                            As a Data Scientist Graduate Intern, you will work side-by-side with other Data Scientists to organize and interpret data to inform US decision makers, drive...",data+scientist,washington+dc
481,Engility Career Invitational - Scientists and Data Engineers,None,        Engility,None,                            We will be hosting an *Engility Career Invitational for Scientists and Data Engineers and others technical experts and researchers involved in Weapons Effects...,data+scientist,washington+dc
482,Data Analytics Specialist,None,        PCAOB,None,"                            Play a significant role in PCAOB's increasing focus on data analytics, using predictive data analytics to improve the effectiveness and efficiency of our...",data+scientist,washington+dc
483,HP032 Data Technician,None,"        ADNET Systems, Inc.",None,"                            Work side by side with top scientists. HP032 Junior Data Technician, Part Time. Perform and manage system backups....",data+scientist,washington+dc
